iter	Passed	Remaining
0	179	178864
1	209	10469922	239	7975633	275	68675
4	310	61793
5	340	56379
6	366	52051
7	402	49934
8	438	48270
9	478	47335
10	508	45709
11	540	44509
12	568	43142
13	596	41983114	628	41252115	662	40746
16	693	40120117	723	39491118	753	38920119	781	38277220	813	37911221	838	37293222	866	36796223	901	36672224	931	36317225	963	36081226	998	35969227	1029	35732228	1064	35638229	1095	35412330	1124	35136331	1157	35008332	1184	34715333	1223	34759334	1252	34526335	1288	34510336	1325	34498
37	1352	34247338	1385	34142
39	1419	34068440	1448	33883441	1480	33765442	1508	33575443	1533	33315444	1563	33185445	1592	33036446	1620	32861447	1653	32804448	1684	32694449	1715	32590550	1747	32515551	1774	32355552	1807	32304553	1838	32209554	1874	32208555	1909	32189556	1938	32062557	1970	32005558	2001	31928559	2033	31853660	2067	31823661	2107	31879662	2145	31916663	2178	31855
64	2215	31868
65	2245	31777
66	2276	31695
67	2308	31643
68	2345	31643
69	2373	31534770	2398	31382771	2421	31216772	2446	31061773	2481	31051774	2512	30982775	2546	30961776	2575	30868777	2615	30912778	2640	3078679	2677	30789880	2709	307418881	2734	3061882	2774	306498883	2797	30507884	2832	30494885	2870	30504886	2897	30408887	2930	30368888	2962	3032489	3002	30356
990	3030	30276991	3063	30231992	3092	30163993	3120	3007794	3158	30091
95	3192	30061
96	3218	29961
97	3256	29977
98	3291	29956
99	3319	29875
100	3349	29814
1101	3372	29694102	3410	29704
103	3444	29677
104	3476	29636
1105	3492	294521106	3537	295251107	3553	293481108	3605	294751109	3636	294251110	3657	292941111	3697	293181112	3717	291841113	3749	291381114	3795	292111115	3825	291531116	3859	291291117	3891	290841118	3910	289471119	3940	288971120	3982	289291121	4007	28844
122	4043	28829
123	4070	28754
124	4110	28774
125	4149	28785
126	4182	28748
127	4219	28743
128	4252	28713
129	4280	28644
130	4312	28608
131	4341	28550
132	4371	28495
133	4401	284431134	4436	284251135	4467	283781136	4498	283381137	4527	282821138	4557	282321139	4588	281861140	4625	28180
141	4656	28133
142	4689	28105
143	4720	280591144	4748	279981145	4771	279091146	4811	27919
147	4839	27860
148	4869	27810
149	4907	27806
150	4940	27776
151	4973	27746
152	5004	27701
153	5034	27658
154	5071	27648
155	5102	27607
156	5134	27569
157	5167	27535
158	5199	275015159	5231	27466
160	5268	27452
161	5308	27460
162	5336	27403
163	5365	27352
164	5397	27312
165	5423	27247
166	5449	271716167	5484	27161
168	5515	27123
169	5542	27058
170	5572	27014
171	5608	26999
172	5640	26964
173	5670	26919
174	5697	26860
175	5725	268017176	5758	26776
177	5787	267217178	5832	267517179	5865	267218180	5903	26711
181	5938	26688
182	5971	26658
183	6003	26624
184	6042	26618
185	6075	26589
186	6107	26553
187	6139	26516
188	6169	26473
189	6202	26444
190	6234	26408
191	6270	26389
192	6298	26337
193	6334	26318
194	6370	26298
195	6407	26284
196	6436	26237
197	6465	26186
198	6496	26148
199	6526	26104
200	6551	260420201	6589	260320202	6615	259720203	6640	259120204	6680	259020205	6713	258720206	6745	258420207	6786	25840
208	6816	25798
209	6851	25775
210	6884	25742
211	6918	25715
212	6951	25684
213	6987	25663
214	7014	25612
215	7048	25582
216	7080	25547
217	7120	25542
218	7148	25493
219	7184	25472
220	7211	25420
221	7248	25402
222	7277	25357
223	7308	25317
224	7337	25274
225	7370	25242
226	7398	251922227	7434	25171
228	7470	25150
229	7507	25133
230	7534	25081
231	7565	25042
232	7595	25002
233	7617	24936
234	7651	249072235	7683	248742236	7714	248372237	7749	24812
238	7777	247632239	7811	247362240	7842	246972241	7882	24689
242	7917	24664
243	7946	24620
244	7982	24600
245	8013	24560
246	8037	245024247	8076	24491
248	8112	24467
249	8141	244225250	8175	243925251	8208	24365
252	8245	24346
253	8274	24302
254	8304	24263
255	8336	24229
256	8371	24203
257	8410	24189
258	8436	24137
259	8474	24120
260	8500	24069
261	8537	24047
262	8570	24016
263	8603	23985
264	8633	23945
265	8666	23915
266	8705	23898
267	8745	23887
268	8779	23857
269	8814	23831
270	8844	23792
271	8877	23761
272	8912	23733
273	8948	23709
274	8977	23669
275	9012	23640
276	9043	23605
277	9078	23576
278	9106	23534
279	9138	23499
280	9170	23463
281	9200	23426
282	9231	23389
283	9264	23357
284	9296	23323
285	9325	23281
286	9349	23225
287	9385	23202
288	9411	23153
289	9447	23129
290	9481	23100
291	9517	23077
292	9545	23033
293	9576	22996
294	9606	22957
295	9632	229082296	9671	22891
297	9697	228442298	9726	228022299	9764	227833300	9800	227593301	9827	227133302	9855	226733303	9887	226330304	9913	225830305	9943	225533306	9977	225230307	10007	224830308	10042	224530309	10075	224231310	10107	223933311	10138	223533312	10169	223233313	10200	22283314	10245	222793315	10281	222553316	10317	222293317	10352	222023318	10382	221633319	10414	221313320	10448	221003321	10486	220813322	10518	220473323	10555	22024
324	10590	21994
